心灵,33.17609361199616,neg,2,n
期间,31.773238532546472,neg,2,f
西溪,30.874552966009016,neg,2,ns
人事,29.591131111275004,neg,2,n
复杂,29.47293418462577,neg,2,a
直到,27.85630126145279,neg,2,v
宰客,27.269203016387646,neg,2,nr
保险,26.429291120507873,neg,2,n
迎来,25.834753851133605,neg,2,v
至少,25.101176298167744,neg,2,d
融资,25.087640746709106,neg,2,vn
或,24.479587700230557,neg,1,c
存在,22.0372041486209,neg,2,v
价格调整,21.955436892415893,neg,4,l
和夫,21.955436892415893,neg,2,nz
落落,21.81793336866596,neg,2,v
振华,21.76319185706131,neg,2,nz
墨尔本,21.496005273778596,neg,3,ns
不了,21.40572782433513,neg,2,v
胸膛,21.370474391694735,neg,2,n
分枝,21.3033601958362,neg,2,n
体现,20.953121557582506,neg,2,v
逛一逛,20.496005273778596,neg,3,v
练习场,20.496005273778596,neg,3,n
倒地,20.174077178891235,neg,2,n
提拔,20.174077178891235,neg,2,v
人生,20.10755380782667,neg,2,n
低潮期,20.08096777449975,neg,3,n
闭店,20.08096777449975,neg,2,v
拿捏,20.08096777449975,neg,2,v
重用,19.98143210094884,neg,2,v
固执,19.91104277305744,neg,2,a
神佛,19.91104277305744,neg,2,n
经科,19.858575353163303,neg,2,n
Google,19.817933368665962,neg,6,eng
悉尼,19.81793336866596,neg,2,ns
催熟,19.81793336866596,neg,2,v
球场,19.718397695115044,neg,2,n
事项,19.6987400853616,neg,2,n
通过率,19.648008367223643,neg,3,n
总任务,19.633508797528535,neg,3,n
起起落落,19.496005273778596,neg,4,i
松坂,19.496005273778596,neg,2,ns
离谱,19.496005273778596,neg,2,n
费率,19.496005273778596,neg,2,n
起起伏伏,19.496005273778596,neg,4,v
酷热,19.496005273778596,neg,2,a
一厢情愿,19.496005273778596,neg,4,i
导航台,19.496005273778593,neg,3,n
尽快,19.376095510786264,neg,2,d
嬉笑,19.32608027233628,neg,2,v
中潜层,19.303360195836202,neg,3,n
接待工作,19.2329708679448,neg,4,l
人浮于事,19.174077178891235,neg,4,l
缴存,19.17407717889123,neg,2,v
独栋,19.148081970358287,neg,2,nr
随手,19.148081970358287,neg,2,d
新一波,19.080967774499754,neg,3,nr
落,19.080967774499754,neg,1,v
讲于,19.010578446608353,neg,2,v
玻璃房,19.010578446608353,neg,3,n
期货市场,18.98143210094884,neg,4,n
潮水般,18.91104277305744,neg,3,l
逊色,18.91104277305744,neg,2,n
美剧,18.858575353163303,neg,2,nt
王朔,18.81793336866596,neg,2,nr
不法行为,18.81793336866596,neg,4,l
装满,18.785511890973577,neg,2,v
失业,18.718397695115044,neg,2,n
必定,18.68865035172099,neg,2,d
恶劣行径,18.66593027522091,neg,4,l
证券市场,18.63350879752853,neg,4,n
亚布力,18.563519512224946,neg,3,nr
预感,18.496005273778596,neg,2,n
隐痛,18.496005273778596,neg,2,a
睿智,18.496005273778596,neg,2,a
凶猛,18.496005273778596,neg,2,a
Storytellers,18.496005273778596,neg,12,eng
砸碎,18.496005273778596,neg,2,v
初次见面,18.496005273778596,neg,4,d
球团,18.496005273778596,neg,2,n
闲下来,18.496005273778596,neg,3,l
西山,18.496005273778596,neg,2,ns
休眠期,18.496005273778596,neg,3,t
柔滑,18.496005273778596,neg,2,a
爽脆,18.496005273778596,neg,2,a
各庄,18.496005273778593,neg,2,r
促成,18.496005273778593,neg,2,v
瑞银,18.425615945887195,neg,2,j
千玺,18.31158070264117,neg,2,nr
小看,18.303360195836202,neg,2,v
不顾,18.2329708679448,neg,2,v
猎人,18.13343519439389,neg,2,n
涌向,18.133435194393886,neg,2,v
翻译,18.117493650524864,neg,2,v
飞行,18.010578446608353,neg,2,v
河风,18.00124058202902,neg,2,n
暂缓,17.91104277305744,neg,2,d
抵挡不住,17.91104277305744,neg,4,n
幻灭,17.91104277305744,neg,2,v
防腐剂,17.91104277305744,neg,3,nz
游人,17.91104277305744,neg,2,n
历史纪录,17.91104277305744,neg,4,n
从南到北,17.91104277305744,neg,4,l
神女,17.91104277305744,neg,2,n
间谍,17.91104277305744,neg,2,n
无处不在,17.91104277305744,neg,4,l
起伏,17.91104277305744,neg,2,v
居酒,17.863737058279085,neg,2,n
臭小子,17.863737058279085,neg,3,n
不规矩,17.81793336866596,neg,3,l
渴求,17.785511890973577,neg,2,v
臃肿,17.75903967961239,neg,2,a
买些,17.711733964834032,neg,2,nr
学佛,17.688650351720995,neg,2,n
法师,17.68865035172099,neg,2,n
回调,17.63350879752853,neg,2,v
玩电脑,17.62927180464206,neg,3,n
高低,17.56311946963713,neg,2,a
些小,17.541808963391723,neg,2,a
摇摇,17.541808963391723,neg,2,v
休整,17.496005273778596,neg,2,vn
不止一次,17.496005273778596,neg,4,l
行径,17.496005273778596,neg,2,n
归来,17.496005273778596,neg,2,v
比起,17.37047439169474,neg,2,v
关窗,17.370474391694735,neg,2,n
翻到,17.34916388544933,neg,2,v
习气,17.27361285244215,neg,2,n
其中,17.256274096900775,neg,2,r
制在,17.206498656583612,neg,2,v
出列,17.174077178891235,neg,2,v
操纵者,17.174077178891235,neg,3,n
挖山,17.126771464112878,neg,2,n
法语,17.103687850999833,neg,2,nz
付钱,17.00124058202902,neg,2,v
跨界,16.981432100948837,neg,2,n
没人管,16.956846462670562,neg,3,l
往回,16.91104277305744,neg,2,t
本心,16.91104277305744,neg,2,n
完美无缺,16.91104277305744,neg,4,i
小吃店,16.91104277305744,neg,3,n
传感,16.91104277305744,neg,2,n
暗处,16.91104277305744,neg,2,d
市场疲软,16.91104277305744,neg,4,i
